t,px,py,pz,vx,vy,vz
5.302366106380462e-05,3.8227410002127706e-05,-2.194670390380815e-06,0.0004975033627076731,0.009216685005450443,-0.0052907863658423395,0.00668905483022416
5.4100168819610195e-05,3.860253857799927e-05,-2.2162219619375973e-06,0.0005023585995395117,0.009108712518426106,-0.005229114296679731,0.0066018604082407634
5.517672567116631e-05,3.897411120439541e-05,-2.2375669470224604e-06,0.0005071675331556713,0.00900364175210925,-0.005169091610227857,0.0065171871500643375
5.625335149940096e-05,3.934223287803034e-05,-2.2587099928088062e-06,0.0005119316417576826,0.00890136374780813,-0.005110656817339159,0.006434928286655758
5.733003763668129e-05,3.9707017125118995e-05,-2.2796567822509573e-06,0.0005166522169196947,0.008801776877984037,-0.005053752556987813,0.006354984822336481
5.840675330452108e-05,4.006851170374595e-05,-2.3004142902069615e-06,0.0005213302270167562,0.00870478570421418,-0.00499832492283511,0.00627726434503288
5.9483550449539e-05,4.042683733583364e-05,-2.3209851758590015e-06,0.0005259670015614154,0.008610291609241916,-0.004944318146467106,0.006201673366980128
6.0560404152745866e-05,4.0782060340479714e-05,-2.3413779671028755e-06,0.0005305635706944704,0.008518207022345303,-0.004891682709583471,0.006128128660732198
6.163730552440812e-05,4.113424754517827e-05,-2.3615927902369823e-06,0.0005351209777724914,0.008428446604753224,-0.004840370403793555,0.006056549975781582
6.27142457427314e-05,4.148346960076533e-05,-2.3816363772707527e-06,0.0005396402461846482,0.008340928616966486,-0.004790334955569141,0.005986861020441454
6.379122762437215e-05,4.1829810691750305e-05,-2.4015125164772805e-06,0.000544122031257068,0.008255573820594593,-0.004741531545683495,0.005918988497960499
6.486826108457883e-05,4.2173344290933156e-05,-2.4212189065309295e-06,0.0005485667284397217,0.008172305797634866,-0.004693916826013081,0.005852862178872509
6.594535992466557e-05,4.251413086718361e-05,-2.4407717271527285e-06,0.0005529747105088751,0.008091051013508075,-0.00464744912369096,0.005788414961374398
6.702250706590108e-05,4.285222187308705e-05,-2.46016880188135e-06,0.0005573464800222167,0.008011741335609385,-0.004602089837417196,0.005725584818729909
6.809972258757158e-05,4.3187681795280374e-05,-2.4794151561744276e-06,0.0005616832955563335,0.007934308761543175,-0.0045578004538452035,0.005664310662599892
6.917697486853354e-05,4.352055625373179e-05,-2.498512584173282e-06,0.0005659863155652681,0.007858691893950843,-0.004514546164841966,0.0056045372321774905
7.02542779420148e-05,4.385092276082364e-05,-2.517460804008841e-06,0.0005702569231055951,0.007784828664019794,-0.004472291762238602,0.005546209328991962
7.133164891376913e-05,4.417882882547832e-05,-2.536265275033686e-06,0.0005744960529176019,0.007712659522144047,-0.004431003456034367,0.005489274238121872
7.240904236186492e-05,4.45042980195624e-05,-2.5549320864545103e-06,0.0005787041158402982,0.007642131562776919,-0.004390651205656986,0.005433684878875394
7.348646979182555e-05,4.4827381973668945e-05,-2.573459753699249e-06,0.0005828813715075779,0.007573190346684099,-0.004351204140569905,0.005379393414546493
7.456396369721771e-05,4.514815518280131e-05,-2.5918515882623272e-06,0.0005870280518561047,0.007505782368694259,-0.004312631848422876,0.005326353130766808
7.564151673018975e-05,4.546665764632888e-05,-2.6101130113426164e-06,0.0005911438186929954,0.007439858798246702,-0.0042749065965843125,0.005274521342808768
7.67191208297967e-05,4.578291587932514e-05,-2.62824167887252e-06,0.0005952287922427251,0.0073753727460712706,-0.004238001771317621,0.005223857233225011
7.779676739070657e-05,4.6096971384451934e-05,-2.646243276670517e-06,0.0005992837608324918,0.00731227921429378,-0.004201891766362353,0.005174321749637335
7.887444916147722e-05,4.640886543800041e-05,-2.664120403765674e-06,0.0006033098328371618,0.00725053482218843,-0.0041665519256429894,0.005125877384296269
7.995216695224066e-05,4.671863378766782e-05,-2.681875343360297e-06,0.0006073081156702765,0.007190097298288696,-0.004131958249113355,0.005078487979843662
8.102995078045092e-05,4.7026328984332045e-05,-2.699507924893148e-06,0.0006112795547031487,0.007130924596247831,-0.0040980868212531895,0.005032117778437318
8.210777866619883e-05,4.733199780947609e-05,-2.7170214369360792e-06,0.0006152247729585848,0.007072979084874601,-0.0040649162682689964,0.004986734613494003
8.318565019786175e-05,4.76356482503394e-05,-2.734417476190567e-06,0.0006191439723665117,0.007016223474439023,-0.004032425319919351,0.004942306780119233
8.426356085095604e-05,4.793732077547262e-05,-2.75170196240132e-06,0.0006230372643543587,0.006960622118661366,-0.0040005937363108545,0.004898804056433168
8.534151985467668e-05,4.8237043986377914e-05,-2.7688717779751444e-06,0.000626904491416522,0.006906139946851829,-0.003969401550029453,0.004856196905178649
8.641952928409371e-05,4.8534853776911026e-05,-2.7859305683389705e-06,0.000630745290972194,0.0068527437431816565,-0.003938829865797498,0.004814457391253028
8.74976119586721e-05,4.8830791826531845e-05,-2.8028827777888176e-06,0.0006345596183200919,0.006800400601306573,-0.003908859985979051,0.004773557924630528
8.857574357031483e-05,4.912489117631642e-05,-2.8197268978279064e-06,0.0006383485810776347,0.006749081114600657,-0.003879475193827306,0.0047334738152704165
8.965389446473487e-05,4.941715786893086e-05,-2.8364682484690376e-06,0.0006421135719183501,0.006698757336200004,-0.0038506594941164107,0.004694181684880089
9.073210675919023e-05,4.970765575194385e-05,-2.8531011827221906e-06,0.0006458558936352517,0.006649398933112814,-0.003822395606656573,0.004655656409710263
9.181036077274703e-05,4.9996396653722394e-05,-2.86963466460361e-06,0.0006495762072728886,0.006600979440637469,-0.003794668423461311,0.00461787590747327
9.288865623924857e-05,5.0283397062276036e-05,-2.886064975221927e-06,0.0006532749776960845,0.0065534724645035175,-0.0037674629476608917,0.004580818328248828
9.396701454588228e-05,5.056870180265494e-05,-2.9023980262784513e-06,0.0006569520847235993,0.0065068517322501036,-0.0037407641862125147,0.004544461797588943
9.504541668742848e-05,5.0852327601099135e-05,-2.918633377912962e-06,0.0006606072665760337,0.006461093417752013,-0.0037145586139563985,0.0045087864616613245
9.61238536896956e-05,5.11342892277794e-05,-2.934773253603128e-06,0.0006642404426660776,0.006416174192780906,-0.003688832916230133,0.0044737729214987245
9.720233028857546e-05,5.1414621971315345e-05,-2.950818147118985e-06,0.000667851501931299,0.006372070999578461,-0.00366357395079438,0.004439402100383956
9.828087597346236e-05,5.1693354098463565e-05,-2.9667707905946957e-06,0.0006714403930380537,0.00632876054667464,-0.003638768449517166,0.004405654885293107
9.935946243350656e-05,5.1970492675073385e-05,-2.982633993134406e-06,0.0006750065633684019,0.006286222655677549,-0.0036144048733758494,0.0043725146875147605
0.00010043808791285061,5.224606903361298e-05,-2.99840735730271e-06,0.0006785497954917476,0.006244436802824997,-0.003590471545492758,0.00433996480093233
